82780	84.30	PR	LONDRINA                                         	ADMINISTRACAO                
347810	78.30	PR	LONDRINA                                         	ADMINISTRACAO                
444331	76.80	DF	BRASILIA                                         	ADMINISTRACAO                
217886	76.80	DF	BRASILIA                                         	ADMINISTRACAO                
92372	74.80	PR	CURITIBA                                         	ADMINISTRACAO                
273715	73.80	PR	CURITIBA                                         	ADMINISTRACAO                
223710	72.80	DF	BRASILIA                                         	ADMINISTRACAO                
114282	72.50	DF	BRASILIA                                         	ADMINISTRACAO                
426064	72.30	MT	CUIABA                                           	ADMINISTRACAO                
426064	72.30	MT	CUIABA                                           	ADMINISTRACAO                
149220	72.00	DF	BRASILIA                                         	ADMINISTRACAO                
444743	71.80	PR	CURITIBA                                         	ADMINISTRACAO                
444743	71.80	PR	CURITIBA                                         	ADMINISTRACAO                
447253	70.00	DF	BRASILIA                                         	ADMINISTRACAO                
324583	70.00	DF	BRASILIA                                         	ADMINISTRACAO                
463527	71.50	DF	BRASILIA                                         	ADMINISTRACAO                
411299	70.80	SE	SAO CRISTOVAO                                    	ADMINISTRACAO                
447253	70.00	DF	BRASILIA                                         	ADMINISTRACAO                
324583	70.00	DF	BRASILIA                                         	ADMINISTRACAO                
149018	70.00	DF	BRASILIA                                         	ADMINISTRACAO                
167165	70.00	DF	BRASILIA                                         	ADMINISTRACAO                
397177	70.00	DF	BRASILIA                                         	ADMINISTRACAO                
216227	69.80	DF	BRASILIA                                         	ADMINISTRACAO                
428679	69.80	SE	SAO CRISTOVAO                                    	ADMINISTRACAO                
196197	69.80	DF	BRASILIA                                         	ADMINISTRACAO                
17250	69.50	DF	BRASILIA                                         	ADMINISTRACAO                
92076	69.30	DF	BRASILIA                                         	ADMINISTRACAO                
195190	69.30	DF	BRASILIA                                         	ADMINISTRACAO                
350655	69.30	MT	CUIABA                                           	ADMINISTRACAO                
424746	69.00	DF	BRASILIA                                         	ADMINISTRACAO                
105072	68.80	MG	VICOSA                                           	ADMINISTRACAO                
114415	68.80	PI	TERESINA                                         	ADMINISTRACAO                
52319	68.80	PR	CURITIBA                                         	ADMINISTRACAO                
205218	68.80	PR	CURITIBA                                         	ADMINISTRACAO                
169983	68.30	AM	MANAUS                                           	ADMINISTRACAO                
112768	68.30	PR	LONDRINA                                         	ADMINISTRACAO                
286772	68.30	DF	BRASILIA                                         	ADMINISTRACAO                
90902	68.30	PR	LONDRINA                                         	ADMINISTRACAO                
464249	68.00	AM	MANAUS                                           	ADMINISTRACAO                
105494	68.00	PR	CURITIBA                                         	ADMINISTRACAO                
113812	67.30	MT	CUIABA                                           	ADMINISTRACAO                
346047	66.30	DF	BRASILIA                                         	ADMINISTRACAO                
301503	65.30	MT	PRIMAVERA DO LESTE                               	ADMINISTRACAO                
206712	64.80	PR	LONDRINA                                         	ADMINISTRACAO                
309584	64.50	DF	BRASILIA                                         	ADMINISTRACAO                
333852	63.80	PR	LONDRINA                                         	ADMINISTRACAO                
58175	61.50	MT	PRIMAVERA DO LESTE                               	ADMINISTRACAO                
329987	61.30	PI	TERESINA                                         	ADMINISTRACAO                
464169	66.80	PR	LONDRINA                                         	ADMINISTRACAO                
416897	66.80	DF	BRASILIA                                         	ADMINISTRACAO                
440588	66.80	MT	PRIMAVERA DO LESTE                               	ADMINISTRACAO                
349722	66.50	PR	CURITIBA                                         	ADMINISTRACAO                
432962	66.30	PR	LONDRINA                                         	ADMINISTRACAO                
346047	66.30	DF	BRASILIA                                         	ADMINISTRACAO                
25193	66.30	DF	BRASILIA                                         	ADMINISTRACAO                
